zone,set,beta,k,M
zone412,2,1.05,0.57654676959910867,82285945.900712311
zone412,2,2,0.43661722192069968,-84344607.505902648
zone412,2,5,0.411361991921603,2706934.8662195457
zone412,2,12,0.3318771046884183,20578782.134988047
zone412,2,30,0.26203953603841962,29057289.166713949
zone412,2,60,0.22590970518393785,35932815.016361304
zone412,2,120,0.20297397064820275,47273787.869888999
zone412,2,250,0.18909995819527475,70504510.59977302
zone421,2,1.05,0.85545514618040208,-82582428.19718942
zone421,2,2,0.75808458967711045,-60636113.412140526
zone421,2,5,0.56468883964916483,-23280888.002927877
zone421,2,12,0.37829991275162389,7345385.3144382443
zone421,2,30,0.27634266477629144,33915765.548257701
zone421,2,60,0.29819637116000491,63382508.950446524
zone421,2,120,0.40895021198050135,123119735.39527883
zone421,2,250,0.57338854542640938,272992857.2667681
zone422,2,1.05,0.86298347039734202,-55819654.553627148
zone422,2,2,0.77016930800649197,-37013156.669688687
zone422,2,5,0.5834909773113246,-5803939.3600777248
zone422,2,12,0.39520003428650879,16949099.443900973
zone422,2,30,0.26521546687086461,28964898.977055021
zone422,2,60,0.2350242208670229,35988855.944829933
zone422,2,120,0.26412325502036144,51392547.308495283
zone422,2,250,0.34979910015356114,102850872.90801573
zone4222,2,1.05,0.85852628003818943,-62182241.43820022
zone4222,2,2,0.76264616545510688,-42209769.68174915
zone4222,2,5,0.56960717745490619,-9096605.614714358
zone4222,2,12,0.37434188475509528,14929932.007126847
zone4222,2,30,0.23891580732908313,27266179.578565501
zone4222,2,60,0.21048085872490407,34168705.517769217
zone4222,2,120,0.26693114713570071,51702264.63710279
zone4222,2,250,0.52155412520379152,153615850.77481437
zone111,3,1.05,0.46094873711648654,67217986.015022397
zone111,3,2,0.46094873711648693,128034259.07623297
zone111,3,5,0.46713845372706797,332459046.58605397
zone111,3,12,0.47044650029861701,813796574.3782531
zone111,3,30,0.47185065466762388,2051371059.3231063
zone111,3,60,0.47231691598845377,4113955456.2654915
zone111,3,120,0.47254971255217243,8239109408.3701954
zone111,3,250,0.47267067890122988,17176934838.12105
zone211,3,1.05,0.46069470026704484,65622809.29794398
zone211,3,2,0.42944280764098036,99275843.364315957
zone211,3,5,0.36866764150576053,161059605.26194179
zone211,3,12,0.32059089712685251,270726851.64152682
zone211,3,30,0.28889259969547565,527232527.5159421
zone211,3,60,0.2756533407816999,945452652.96755767
zone211,3,120,0.26833644495354558,1777686382.7326548
zone211,3,250,0.26431710298040079,3578328440.305584
zone212,3,1.05,0.60642617960134348,148843045.47977114
zone212,3,2,0.52406961674025365,178768634.15047985
zone212,3,5,0.40904272865633129,218780564.90727955
zone212,3,12,0.31363197253455966,246058014.63767254
zone212,3,30,0.23873820402660917,246217515.68315709
zone212,3,60,0.20067447725934157,200354594.94676584
zone212,3,120,0.1763309487766542,59737303.578940332
zone212,3,250,0.16142116776591106,-336040913.26879096
zone221,3,1.05,0.89370573976467982,-971525367.53077579
zone221,3,2,0.8159663742951706,-769367684.47661602
zone221,3,5,0.64416876150611391,-340896407.89714003
zone221,3,12,0.44718536526312375,97696533.792621002
zone221,3,30,0.30075266744190626,515861771.92717266
zone221,3,60,0.2923391857292596,933723384.17758811
zone221,3,120,0.3988506357622843,1722943186.6493096
zone221,3,250,0.33790624254584239,3717179954.956048
zone222,3,1.05,0.89593075890863882,-780882012.65504789
zone222,3,2,0.81946499207999035,-603658766.99464667
zone222,3,5,0.64878824462368534,-238056614.79916841
zone222,3,12,0.44645140463595923,88226190.879995361
zone222,3,30,0.27213440229341967,256389184.10648388
zone222,3,60,0.20155277204325614,278480339.11066532
zone222,3,120,0.19807105532923111,288670195.43932968
zone222,3,250,0.25690542974223834,582836521.20938444
zone311,3,1.05,0.62751008185716484,436783057.83974087
zone311,3,2,0.50609654810388383,266858916.75501221
zone311,3,5,0.3810514515803507,189839272.41272163
zone311,3,12,0.32059285283399186,270733080.65515751
zone311,3,30,0.29358677810568778,554349792.86184478
zone311,3,60,0.28467961232675443,1037688124.4467118
zone311,3,120,0.28027606435143687,2006337757.7959678
zone311,3,250,0.27800356707955265,4105674848.9319277
zone312,3,1.05,0.69007032782129329,424342449.36688256
zone312,3,2,0.57121208367400278,313854080.01576877
zone312,3,5,0.41900517724691461,246587788.9809086
zone312,3,12,0.31363406495378321,252809742.75688976
zone312,3,30,0.24542235115724415,305403399.32872897
zone312,3,60,0.21591485844714678,389070831.36204803
zone312,3,120,0.1990264521060241,550121779.92342675
zone312,3,250,0.18949974915136752,893893570.86032426
zone321,3,1.05,0.8943652760597699,-886647788.88822496
zone321,3,2,0.81683132869224551,-709432457.17754078
zone321,3,5,0.64479872793611159,-321900249.64338535
zone321,3,12,0.44718575015799511,97702411.146827176
zone321,3,30,0.30389456288156796,543807203.32660484
zone321,3,60,0.30734523132748448,1017661158.6656849
zone321,3,120,0.41143085721051786,1876532293.8909934
zone321,3,250,0.35908581793985977,4049478435.5065241
zone322,3,1.05,0.89658128830200334,-699263152.99774122
